Released,Title,"Maximum
Theaters","Infl. Adj. Dom.
Box Office",space_theme
2/12/2014,*RoboCop*,3372,75536323,FALSE
3/21/2014,*Divergent*,3936,194550953,FALSE
4/18/2014,*Transcendence*,3455,29672571,FALSE
5/16/2014,*Godzilla*,3952,258643694,FALSE
6/6/2014,*Edge of Tomorrow*,3505,129151998,FALSE
6/27/2014,*Transformers: Age of Extinction*,4233,316337016,TRUE
7/11/2014,*Dawn of the Planet of the Apes*,3969,268786411,TRUE
11/5/2014,*Interstellar*,3561,242121713,TRUE
11/21/2014,*The Hunger Games: Mockingjay - Part 1*,4151,433988801,FALSE
2/6/2015,*Jupiter Ascending*,3885,59310899,TRUE
3/20/2015,*The Divergent Series: Insurgent*,3875,162608019,FALSE
5/15/2015,*Mad Max: Fury Road*,3722,191895350,FALSE
5/22/2015,*Tomorrowland*,3972,116712267,FALSE
5/29/2015,*San Andreas*,3812,193850466,FALSE
6/12/2015,*Jurassic World*,4291,814794415,FALSE
7/1/2015,*Terminator: Genisys*,3783,112121334,FALSE
7/24/2015,*Pixels*,3723,98387402,FALSE
9/18/2015,*Maze Runner: The Scorch Trials*,3792,102046683,FALSE
10/2/2015,*The Martian*,3854,285240736,TRUE
11/20/2015,*The Hunger Games: Mockingjay - Part 2*,4175,351664724,FALSE
12/18/2015,*Star Wars Ep. VII: The Force Awakens*,4134,1163816804,TRUE
3/18/2016,*The Divergent Series: Allegiant*,3740,80568558,FALSE
6/24/2016,*Independence Day: Resurgence*,4091,125561763,TRUE
7/15/2016,*Ghostbusters*,3963,156246414,FALSE
7/22/2016,*Star Trek Beyond*,3928,193372594,TRUE
12/16/2016,*Rogue One: A Star Wars Story*,4157,644548924,TRUE
12/21/2016,*Passengers*,3478,119813604,TRUE
12/21/2016,*Assassin’s Creed*,2996,65733378,FALSE
1/13/2017,*Monster Trucks*,3119,39173664,FALSE
3/10/2017,*Kong: Skull Island*,3846,197279392,FALSE
3/24/2017,*Life*,3146,35492113,TRUE
3/31/2017,*Ghost in the Shell*,3440,47618082,FALSE
5/19/2017,*Alien: Covenant*,3772,87177164,TRUE
6/21/2017,*Transformers: The Last Knight*,4132,152806706,TRUE
7/14/2017,*War for the Planet of the Apes*,4100,172424538,TRUE
8/4/2017,*The Dark Tower*,3451,59518951,FALSE
10/6/2017,*Blade Runner 2049*,4058,108056364,FALSE
10/20/2017,*Geostorm*,3246,39558872,FALSE
12/15/2017,*Star Wars Ep. VIII: The Last Jedi*,4232,726181506,TRUE
12/20/2017,*Jumanji: Welcome to the Jungle*,3849,470609666,FALSE
